2014 NLWC,1-0,"San Francisco Giants* (88-74, NL) vs. Pittsburgh Pirates* (88-74, NL)"
2013 World Series,4-2,"Boston Red Sox (97-65, AL) vs. St. Louis Cardinals (97-65, NL)"
2013 ALCS,4-2,"Boston Red Sox (97-65, AL) vs. Detroit Tigers (93-69, AL)"
2013 NLCS,4-2,"St. Louis Cardinals (97-65, NL) vs. Los Angeles Dodgers (92-70, NL)"
2013 ALDS1,3-1,"Boston Red Sox (97-65, AL) vs. Tampa Bay Rays* (92-71, AL)"
2013 ALDS2,3-2,"Detroit Tigers (93-69, AL) vs. Oakland Athletics (96-66, AL)"
2013 NLDS1,3-2,"St. Louis Cardinals (97-65, NL) vs. Pittsburgh Pirates* (94-68, NL)"
2013 NLDS2,3-1,"Los Angeles Dodgers (92-70, NL) vs. Atlanta Braves (96-66, NL)"
2013 ALWC,1-0,"Tampa Bay Rays* (92-71, AL) vs. Cleveland Indians* (92-70, AL)"
2013 NLWC,1-0,"Pittsburgh Pirates* (94-68, NL) vs. Cincinnati Reds* (90-72, NL)"
Series,,
2012 World Series,4-0,"San Francisco Giants (94-68, NL) vs. Detroit Tigers (88-74, AL)"
2012 ALCS,4-0,"Detroit Tigers (88-74, AL) vs. New York Yankees (95-67, AL)"
2012 NLCS,4-3,"San Francisco Giants (94-68, NL) vs. St. Louis Cardinals* (88-74, NL)"
2012 ALDS1,3-2,"New York Yankees (95-67, AL) vs. Baltimore Orioles* (93-69, AL)"
2012 ALDS2,3-2,"Detroit Tigers (88-74, AL) vs. Oakland Athletics (94-68, AL)"
2012 NLDS1,3-2,"St. Louis Cardinals* (88-74, NL) vs. Washington Nationals (98-64, NL)"
2012 NLDS2,3-2,"San Francisco Giants (94-68, NL) vs. Cincinnati Reds (97-65, NL)"
2012 ALWC,1-0,"Baltimore Orioles* (93-69, AL) vs. Texas Rangers* (93-69, AL)"
2012 NLWC,1-0,"St. Louis Cardinals* (88-74, NL) vs. Atlanta Braves* (94-68, NL)"
2011 World Series,4-3,"St. Louis Cardinals* (90-72, NL) vs. Texas Rangers (96-66, AL)"
Series,,
2011 ALCS,4-2,"Texas Rangers (96-66, AL) vs. Detroit Tigers (95-67, AL)"
2011 NLCS,4-2,"St. Louis Cardinals* (90-72, NL) vs. Milwaukee Brewers (96-66, NL)"
2011 ALDS1,3-2,"Detroit Tigers (95-67, AL) vs. New York Yankees (97-65, AL)"
2011 ALDS2,3-1,"Texas Rangers (96-66, AL) vs. Tampa Bay Rays* (91-71, AL)"
2011 NLDS1,3-2,"St. Louis Cardinals* (90-72, NL) vs. Philadelphia Phillies (102-60, NL)"
2011 NLDS2,3-2,"Milwaukee Brewers (96-66, NL) vs. Arizona Diamondbacks (94-68, NL)"
2010 World Series,4-1,"San Francisco Giants (92-70, NL) vs. Texas Rangers (90-72, AL)"
2010 ALCS,4-2,"Texas Rangers (90-72, AL) vs. New York Yankees* (95-67, AL)"
2010 NLCS,4-2,"San Francisco Giants (92-70, NL) vs. Philadelphia Phillies (97-65, NL)"
2010 ALDS1,3-2,"Texas Rangers (90-72, AL) vs. Tampa Bay Rays (96-66, AL)"
Series,,
2010 ALDS2,3-0,"New York Yankees* (95-67, AL) vs. Minnesota Twins (94-68, AL)"
2010 NLDS1,3-0,"Philadelphia Phillies (97-65, NL) vs. Cincinnati Reds (91-71, NL)"
2010 NLDS2,3-1,"San Francisco Giants (92-70, NL) vs. Atlanta Braves* (91-71, NL)"
2009 World Series,4-2,"New York Yankees (103-59, AL) vs. Philadelphia Phillies (93-69, NL)"
2009 ALCS,4-2,"New York Yankees (103-59, AL) vs. Los Angeles Angels of Anaheim (97-65, AL)"
2009 NLCS,4-1,"Philadelphia Phillies (93-69, NL) vs. Los Angeles Dodgers (95-67, NL)"
2009 ALDS1,3-0,"New York Yankees (103-59, AL) vs. Minnesota Twins (87-76, AL)"
2009 ALDS2,3-0,"Los Angeles Angels of Anaheim (97-65, AL) vs. Boston Red Sox* (95-67, AL)"
2009 NLDS1,3-0,"Los Angeles Dodgers (95-67, NL) vs. St. Louis Cardinals (91-71, NL)"
2009 NLDS2,3-1,"Philadelphia Phillies (93-69, NL) vs. Colorado Rockies* (92-70, NL)"
Series,,
2008 World Series,4-1,"Philadelphia Phillies (92-70, NL) vs. Tampa Bay Rays (97-65, AL)"
2008 ALCS,4-3,"Tampa Bay Rays (97-65, AL) vs. Boston Red Sox* (95-67, AL)"
2008 NLCS,4-1,"Philadelphia Phillies (92-70, NL) vs. Los Angeles Dodgers (84-78, NL)"
2008 ALDS1,3-1,"Boston Red Sox* (95-67, AL) vs. Los Angeles Angels of Anaheim (100-62, AL)"
2008 ALDS2,3-1,"Tampa Bay Rays (97-65, AL) vs. Chicago White Sox (89-74, AL)"
2008 NLDS1,3-0,"Los Angeles Dodgers (84-78, NL) vs. Chicago Cubs (97-64, NL)"
2008 NLDS2,3-1,"Philadelphia Phillies (92-70, NL) vs. Milwaukee Brewers* (90-72, NL)"
2007 World Series,4-0,"Boston Red Sox (96-66, AL) vs. Colorado Rockies* (90-73, NL)"
2007 ALCS,4-3,"Boston Red Sox (96-66, AL) vs. Cleveland Indians (96-66, AL)"
2007 NLCS,4-0,"Colorado Rockies* (90-73, NL) vs. Arizona Diamondbacks (90-72, NL)"
Series,,
2007 ALDS1,3-0,"Boston Red Sox (96-66, AL) vs. Los Angeles Angels of Anaheim (94-68, AL)"
2007 ALDS2,3-1,"Cleveland Indians (96-66, AL) vs. New York Yankees* (94-68, AL)"
2007 NLDS1,3-0,"Arizona Diamondbacks (90-72, NL) vs. Chicago Cubs (85-77, NL)"
2007 NLDS2,3-0,"Colorado Rockies* (90-73, NL) vs. Philadelphia Phillies (89-73, NL)"
2006 World Series,4-1,"St. Louis Cardinals (83-78, NL) vs. Detroit Tigers* (95-67, AL)"
2006 ALCS,4-0,"Detroit Tigers* (95-67, AL) vs. Oakland Athletics (93-69, AL)"
2006 NLCS,4-3,"St. Louis Cardinals (83-78, NL) vs. New York Mets (97-65, NL)"
2006 ALDS1,3-1,"Detroit Tigers* (95-67, AL) vs. New York Yankees (97-65, AL)"
2006 ALDS2,3-0,"Oakland Athletics (93-69, AL) vs. Minnesota Twins (96-66, AL)"
2006 NLDS1,3-0,"New York Mets (97-65, NL) vs. Los Angeles Dodgers* (88-74, NL)"
Series,,
2006 NLDS2,3-1,"St. Louis Cardinals (83-78, NL) vs. San Diego Padres (88-74, NL)"
